campaign_id,campaign_name,objective,ad_group
120230908749470641,SALES | Physiotherapy | 25.9.11 | CBO $40,OUTCOME_SALES,Physiotherapy
120231141591010641,Sales | General,OUTCOME_SALES,All services (general)
120232492438500641,Purchase | Andromeda | 25.10.9,OUTCOME_SALES,All services (general)
120232737782800641,Bag Sales | Rozenama,OUTCOME_SALES,Products
120233369396810641,Arab Therapy Leads,OUTCOME_LEADS,Telemedicine
120234966687040641,Arab Therapy | 2025.11.16 | $20,OUTCOME_SALES,Telemedicine
120235078370530641,Bags Sales,OUTCOME_SALES,Products
120235078931080641,Bags Sales - msg,OUTCOME_ENGAGEMENT,Products
120236657763920641,iOS App Installs,OUTCOME_APP_PROMOTION,App
120236657895780641,Android App Installs,OUTCOME_APP_PROMOTION,App
120238023250780641,Dr Visit | Andromed CPAS,OUTCOME_SALES,Doctor visit
120238560005370641,Messages Campaign | Jan 2026,OUTCOME_ENGAGEMENT,All services (general)
120238675409770641,Nursing | $61 | CBO TOFU | Engagement Msgs,OUTCOME_SALES,Nursing
120239705080970641,Ramadan 2026 Sales Campaign,OUTCOME_SALES,All services (general)
120241966264500641,TESTING ABO | All Services,OUTCOME_ENGAGEMENT,All services (general)
120242051468850641,Physiotherapy | WINNERS CBO,OUTCOME_SALES,Physiotherapy
120242062940210641,Nursing | WINNERS CBO,OUTCOME_SALES,Nursing
120242062962520641,Lab Test | WINNERS CBO,OUTCOME_SALES,Lab tests
120242062962530641,DrVisit | WINNERS CBO,OUTCOME_SALES,Doctor visit
120242225844470641,TESTING | Msg Vol | All Services,OUTCOME_ENGAGEMENT,All services (general)
120242398107390641,iOS installs | AF | 2026/4/17,OUTCOME_APP_PROMOTION,App
120242398643690641,Android Installs | AF | 2026/4/17,OUTCOME_APP_PROMOTION,App
120242543666780641,DrVisit | Msg Vol | WINNERS CBO,OUTCOME_ENGAGEMENT,Doctor visit
120242543867550641,Physiotherapy | Msg Vol | WINNERS CBO,OUTCOME_ENGAGEMENT,Physiotherapy
120242544210890641,Nursing | Msg Vol | WINNERS CBO,OUTCOME_SALES,Nursing
120242545277010641,Lab Test | Msg Vol | WINNERS CBO,OUTCOME_ENGAGEMENT,Lab tests
120242571085330641,Nursing | Msg Vol | WINNERS CBO - Copy,OUTCOME_ENGAGEMENT,Nursing
120243699693650641,Friday Campaign,OUTCOME_ENGAGEMENT,All services (general)
120243794810700641,Nursing | Msg Vol | WINNERS ABO,OUTCOME_ENGAGEMENT,Nursing
120243795563080641,Physiotherapy | Msg Vol | WINNERS ABO,OUTCOME_ENGAGEMENT,Physiotherapy
120243797074370641,DrVisit | Msg Vol | WINNERS ABO,OUTCOME_ENGAGEMENT,Doctor visit
120243987229290641,B2B | Msg Vol | 2026 May 14,OUTCOME_ENGAGEMENT,B2B
120244454826100641,Retargeting CBO | All customers list,OUTCOME_SALES,All services (general)
120244465663740641,Calls Test,OUTCOME_SALES,All services (general)
120245547322430641,Physiotherapy New Test,OUTCOME_SALES,Physiotherapy
120247539219840641,App Reg RT | Android | 2026/7/1,OUTCOME_APP_PROMOTION,App
120248648659640641,Physiotherapy | Pur through Msg | 2026 Aug 11,OUTCOME_ENGAGEMENT,Physiotherapy
120248650558730641,Nursing | Pur through Msg | 2026 Aug 11,OUTCOME_ENGAGEMENT,Nursing
120248651251340641,Dr Visit | Pur through Msg | 2026 Aug 11,OUTCOME_ENGAGEMENT,Doctor visit
120248671987100641,Android App Purchase | AF | 2026/8/12,OUTCOME_APP_PROMOTION,App
120248822994440641,Hillah Physiotherapy,OUTCOME_ENGAGEMENT,Physiotherapy
120248963572680641,Dr Visit | 2026 Aug 29,OUTCOME_ENGAGEMENT,Doctor visit
120248963701120641,Nursing | 2026 Aug 29,OUTCOME_ENGAGEMENT,Nursing
120248963774150641,Physiotherapy | 2026 Aug 29,OUTCOME_ENGAGEMENT,Physiotherapy
120248673438050641,Android App Purchase | LAB TEST | AF | 2026/8/12,OUTCOME_APP_PROMOTION,Lab tests
120249117919650641,Ultrasound + Doppler,OUTCOME_ENGAGEMENT,Imaging
